Local time,Open,High,Low,Close,Volume
21.11.2003 06:00:00.000 GMT+0800,109.002,109.381,108.628,108.754,611487.8036999999
22.11.2003 06:00:00.000 GMT+0800,108.754,108.754,108.754,108.754,0
23.11.2003 06:00:00.000 GMT+0800,108.754,108.754,108.754,108.754,0
24.11.2003 06:00:00.000 GMT+0800,108.790,109.498,108.715,109.310,593675.4027999999
25.11.2003 06:00:00.000 GMT+0800,109.294,110.022,109.207,109.384,615416.2951
26.11.2003 06:00:00.000 GMT+0800,109.385,109.762,108.866,109.075,604844.705
27.11.2003 06:00:00.000 GMT+0800,109.067,109.299,108.866,109.085,584220.8018000001
28.11.2003 06:00:00.000 GMT+0800,109.078,109.654,109.063,109.613,603366.7938999999
29.11.2003 06:00:00.000 GMT+0800,109.613,109.613,109.613,109.613,0
30.11.2003 06:00:00.000 GMT+0800,109.613,109.613,109.613,109.613,0
01.12.2003 06:00:00.000 GMT+0800,109.709,110.028,109.079,109.401,603542.9012999999
02.12.2003 06:00:00.000 GMT+0800,109.396,109.813,108.539,108.570,610439.1036000001
03.12.2003 06:00:00.000 GMT+0800,108.576,108.812,108.076,108.250,603563.1025
04.12.2003 06:00:00.000 GMT+0800,108.235,108.480,107.939,108.185,607789.5946
05.12.2003 06:00:00.000 GMT+0800,108.190,108.409,107.502,107.715,597411.6972
06.12.2003 06:00:00.000 GMT+0800,107.715,107.715,107.715,107.715,0
07.12.2003 06:00:00.000 GMT+0800,107.715,107.715,107.715,107.715,0
08.12.2003 06:00:00.000 GMT+0800,107.668,107.802,107.086,107.398,610580.3915
09.12.2003 06:00:00.000 GMT+0800,107.381,107.543,106.743,107.122,609405.4989999998
10.12.2003 06:00:00.000 GMT+0800,107.111,108.716,107.045,108.409,610316.6982
11.12.2003 06:00:00.000 GMT+0800,108.403,108.458,107.917,108.028,612900.297
12.12.2003 06:00:00.000 GMT+0800,108.005,108.072,107.612,107.860,597256.4942000001
13.12.2003 06:00:00.000 GMT+0800,107.860,107.860,107.860,107.860,0
14.12.2003 06:00:00.000 GMT+0800,107.860,107.860,107.860,107.860,0
